 vrsta , naziv , adresa , mjesna_zajednica, napomena , koordinata_N , koordinata_E ,telefon,email,sajt
gradski vrtic,Jezeva kucica,Kralja Petra I Karadjordjevica 88,Centar II,jaslice,44.7768737,17.1942368,+387 51 490 546,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%98%D0%B5%D0%B6%D0%B5%D0%B2%D0%B0-%D0%BA%D1%83%D1%9B%D0%B8%D1%86%D0%B0/
gradski vrtic,Lana,Kralja Petra II 65,Rosulje,jaslice,44.7877175,17.1984863,+387 51 490 522,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BB%D0%B0%D0%BD%D0%B0/
gradski vrtic,Leptiric,Novice Cerovica 21,Borik I,jaslice,44.7682783,17.1987855,+387 51 490 540,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BB%D0%B5%D0%BF%D1%82%D0%B8%D1%80%D0%B8%D1%9B/
gradski vrtic,Pcelica,Sime Solaje 12,Centar I,jaslice,44.7731076,17.191786,+387 51 490 523,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D1%87%D0%B5%D0%BB%D0%B8%D1%86%D0%B0/
gradski vrtic,Pinokio,Beogradska 19,Borik I,jaslice,44.7690895,17.2017574,+387 51 490 539,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D0%B8%D0%BD%D0%BE%D0%BA%D0%B8%D0%BE/
gradski vrtic,Prvi koraci,Sime Miljusa 16,Starcevica,jaslice,44.7605208,17.20579,+387 51 490 528,,https://vrticibl.org/%D0%B1%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D1%80%D0%B2%D0%B8-%D0%BA%D0%BE%D1%80%D0%B0%D1%86%D0%B8/
gradski vrtic,Srecno djetinjstvo,Karadjordjeva 237,Laus I,jaslice,44.7788709,17.1675588,+387 51 490 525,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%81%D1%80%D0%B5%D1%9B%D0%BD%D0%BE-%D0%B4%D1%98%D0%B5%D1%82%D0%B8%D1%9A%D1%81%D1%82%D0%B2%D0%BE/
gradski vrtic,Sunce,Sime Matavulja 10,Centar I,jaslice,44.7730401,17.1823707,+387 51 490 536,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%81%D1%83%D0%BD%D1%86%D0%B5/
gradski vrtic,Tijana,Fredrika Garsije Lorke 19,Nova Varos,jaslice,44.77779,17.188081, +387 51 490 526,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%82%D0%B8%D1%98%D0%B0%D0%BD%D0%B0/
gradski vrtic,Luna,Krfska 76,Obilicevo II,jaslice,44.7577857,17.1923831,+387 51 490 548,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BB%D1%83%D0%BD%D0%B0/
gradski vrtic,Dora,Uzicka bb,Laus II,,44.7774129,17.1678075,+387 51 490 531,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%B4%D0%BE%D1%80%D0%B0/
gradski vrtic,Cvrcak,Krfska 84,Obilicevo II,jaslice,44.7581417,17.1935129,+387 51 491 370,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%86%D0%B2%D1%80%D1%87%D0%B0%D0%BA/
gradski vrtic,Srna,Josifa Pancica 2,Starcevica,jaslice,44.763561,17.2088218,+387 51 491 371,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%81%D1%80%D0%BD%D0%B0/
gradski vrtic,Poletarac,Marka Kraljevica 22,Obilicevo II,,44.7591679,17.1933534,+387 51 492 278,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D0%BE%D0%BB%D0%B5%D1%82%D0%B0%D1%80%D0%B0%D1%86/
gradski vrtic,Palcica,Kralja Petra II 71,Rosulje,,44.7879136,17.1952378,+387 51 492 174,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D0%B0%D0%BB%D1%87%D0%B8%D1%86%D0%B0/
gradski vrtic,Mali drugari,I Krajiske brigade narodne odbrane 1,Starcevica,,44.7594674,17.2055456,+387 51 498 206,,
gradski vrtic,Andjelak,Sime Solaje 3,Centar I,,44.7730768,17.1939645,+387 51 304 955,vrticandjelakbanjaluka@gmail.com,
privatni vrtic,Petar Pan,Srdje Zlopogledje 1,Obilicevo II,,44.7609372,17.193938,+387 51 468 348,info@vrticpetarpan.com,
privatni vrtic,Carolija,Tromedje 1,Petricevac,,44.794227,17.1920403,+387 65 562 408,vrtic.carolija@gmail.com,
privatni vrtic,Maslacak,Majevicka 24,Petricevac,,44.7898866,17.1813121,+387 65 231 485,p.u.maslacak@gmail.com,
privatni vrtic,Pipi duga carapa,Carice Milice 17a,Obilicevo II,,44.7647233,17.1912855,+387 65 344 447,pipidugacarapa@gmail.com,
privatni vrtic,Minja,Dr. Vojislava Djede Kecmanovica 2a,Starcevica,jaslice,44.7654837,17.2097504,,,
privatni vrtic,Zvjezdica,Jovana Ducica 50,Nova Varos,,44.7767288,17.1868815,+387 51 302 630,zvjezdicabl@gmail.com,
privatni vrtic,101 Dalmatinac,Put srpskih branilaca 201,Lazarevo I,,44.8237543,17.214269,,,
privatni vrtic,Andrej,Branka Popovica 56,Lazarevo I,,44.8151708,17.2112294,+387 51 923 048,vrticandrej.bl@hotmail.com,
privatni vrtic,Nani,Ramici bb,Zaluzani,,44.8554878,17.1645166,+387 51 393 420,,
privatni vrtic,Veseli oblacic,Janka Veselinovica 9,Rosulje,,44.7825884,17.2034619,,,
privatni vrtic,Kod bake,Dr. Mladena Stojanovica 83,Rosulje,,44.7824128,17.2006484,+387 66 122 812,,https://vrticandjeo.com/
privatni vrtic,Andjeo,Trive Amelice 56,Rosulje,jaslice,44.7862378,17.194493,+387 65 003 311,,http://www.vrticsreca.ba/
privatni vrtic,Sreca,Petra Preradovica 7a,Nova Varos,,44.777875,17.1862681,+387 65 512 100,dijana.sormaz@gmail.com,http://www.pertlica.com/
privatni vrtic,Pertlica,Srpska 5,Centar I,dvojezicni vrtic,44.771425,17.1884107,+387 51 214 004,vrtic@pertlica.com,http://www.vrticbajka-bl.com/
privatni vrtic,Bajka,Jevrejska 22,Centar I,,44.771425,17.1884107,+387 66 877 575,,
privatni vrtic,Masta,XIV srednjobosanske brigade 41,Nova Varos,jaslice,44.7847543,17.1901596,+387 66 836 409,vrtic.masta@gmail.com,
privatni vrtic,Cvrcak i mrav,Njegoseva 115,Nova Varos,,44.7847543,17.1901596,+387 65 566 972,pucvrcakimrav@gmail.com,
privatni vrtic,Montessori,Njegoseva 45,Petricevac,,44.7848162,17.1878937,+387 66 807 364,,http://www.vrticdanilo.com/
privatni vrtic,Danilo,Bulevar vojvode Stepe Stepanovica 165a,Starcevica,,44.7781064,17.1802104,+387 65 695 393,vrticdanilo@gmail.com,
privatni vrtic,Pahuljica,Carice Milice 17,Obilicevo II,,44.7648514,17.1748266,+387 66 857 123,,
privatni vrtic,Kockica,Brace Podgornika 47,Bulevar,,44.7909727,17.2090596,+387 65 880 180,vrtickockica@gmail.com,
privatni vrtic,Liliput,Bulevar Desanke Maksimovic 16,Starcevica,,44.7614766,17.2006353,+387 66 070 000,novivrtic.bl@hotmail.com,
privatni vrtic,Carobni svijet,Sargovacka 31,Sargovac,,44.8183771,17.1921189,+387 66 836 409,vrticcarobnisvijet1@gmail.com,
privatni vrtic,Pacija skola,Put srpskih branilaca 201,Zaluzani,,44.8361403,17.2187627,+387 65 437 959,jovica.aleksic@yahoo.com,
privatni vrtic,Ciciban,Nikole Pasica 9,Borik I,,44.7690265,17.1937216,+387 51 311 121,cicibanbl@hotmail.com,
privatni vrtic,Ljutko,Knjaza Milosa 39,Lazarevo II,,44.7980416,17.2053789,+387 66 377 955,vrticljutko@gmail.com,
privatni vrtic,Moje sunce,Bulevar cara Dusana,,,,,+387 66 851 697,sunce1.vrtic@gmail.com,
,,,,,,,,,
,,,,,,,,,
